timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,session_session_length,daily_Estimated Revenue,visits_visits_gained,daily_rpv,ratings_like_ratio,ccu_playing,platform_platform_share,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-07-23 00:00:00+00:00,1,0,0,7822444776,393,17.98605613708496,159941,518326,0.0162475011062356,76.91622161865234,22780,0.1884653717279434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159941.0,22780.0,518326.0,76.91622161865234,0.1884653717279434,17.98605613708496,159941.0,22780.0,518326.0,76.91622161865234,0.1884653717279434,17.98605613708496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.020806812694789,0.30857161598759086,0.04394909005319036,0.00011245361529232447,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-07-24 00:00:00+00:00,1,0,0,7822444776,376,16.439419507980347,159715,3817010,0.0132568944068074,75.85848236083984,27291,0.2023444771766662,159941.0,22780.0,518326.0,76.91622161865234,0.1884653717279434,17.98605613708496,0.0,0.0,0.0,0.0,0.0,0.0,159828.0,25035.5,2167668.0,76.3873519897461,0.19540492445230478,17.212737822532652,159828.0,25035.5,2167668.0,76.3873519897461,0.19540492445230478,17.212737822532652,0.0,-0.14130210515127528,0.0,19.802458296751535,0.0,636.4110617642178,0.0,7.364273511612418,0.0,-1.3751835900841947,0.0009998631813459453,0.0009998631813459453,5.852081195954859,0.041842949889324396,0.007149835303068291,0.00010292907102594823,0.0,0.0,1.0,1.0,1.0,159.80613254815975,159.80613254815975,3189.758689932516,3189.758689932516,2332521.8253915654,2332521.8253915654,1,0.9985869789484872
2025-07-25 00:00:00+00:00,1,0,0,7822444776,263,15.539441665013632,190154,3785996,0.0121518407101697,75.5942611694336,25696,0.1813473552465438,159715.0,27291.0,3817010.0,75.85848236083984,0.2023444771766662,16.439419507980347,0.0,0.0,0.0,0.0,0.0,0.0,169936.66666666666,25255.666666666668,2707110.6666666665,76.12298838297527,0.19071906805038444,16.65497243669298,169936.66666666666,25255.666666666668,2707110.6666666665,76.12298838297527,0.19071906805038444,16.65497243669298,0.0,19.058322637197513,0.0,-5.8444175735590465,0.0,-0.8125207950725799,0.0,-10.376918719550666,0.0,-0.3483080377872816,0.1030330254786988,0.1030330254786988,7.399852122815893,0.05022560768009061,0.006787115784824975,8.171986887020394e-05,-0.6609802246093845,0.0,1.0,1.0,1.0,17509.08890643181,17509.08890643181,2287.509635680981,2287.509635680981,1895606.5532766376,1895606.5532766376,2,1.0
2025-07-26 00:00:00+00:00,1,1,0,7822444776,214,17.341540654500324,219928,3875245,0.0110958479297512,76.16838836669922,34012,0.2347660809755325,190154.0,25696.0,3785996.0,75.5942611694336,0.1813473552465438,15.539441665013632,0.0,0.0,0.0,0.0,0.0,0.0,182434.5,27444.75,2999144.25,76.13433837890625,0.20173082128167147,16.826614491144817,182434.5,27444.75,2999144.25,76.13433837890625,0.20173082128167147,16.826614491144817,0.0,15.657835228288652,0.0,32.36301369863013,0.0,2.3573453326416693,0.0,29.456578319747393,0.0,0.7594851624765475,0.15783843397107528,0.15783843397107528,6.465998294769647,0.05675201006594162,0.008776733141586366,7.885063204261523e-05,-0.25077209472656703,0.0,1.0,1.0,1.0,28795.17578229613,28795.17578229613,4759.91704234433,4759.91704234433,1654292.5754114909,1654292.5754114909,3,1.0
2025-07-27 00:00:00+00:00,1,1,0,7822444776,168,22.7292316754659,248960,5220354,0.0102591223100628,77.47049713134766,47215,0.353728324174881,219928.0,34012.0,3875245.0,76.16838836669922,0.2347660809755325,17.341540654500324,0.0,0.0,0.0,0.0,0.0,0.0,195739.6,31398.8,3443386.2,76.40157012939453,0.23213032186031338,18.007137928009033,195739.6,31398.8,3443386.2,76.40157012939453,0.23213032186031338,18.007137928009033,0.0,13.200683860172413,0.0,38.818652240385745,0.0,34.71029573614055,0.0,50.67267073037984,0.0,1.709513346113689,0.1983252158454615,0.1983252158454615,5.272788885123687,0.04769024328805225,0.0090444040683057,9.129635435054446e-05,0.1418457031249981,0.1418457031249981,1.0,1.0,1.0,38820.0984195043,38820.0984195043,9755.26343570485,9755.26343570485,1743349.5044009965,1743349.5044009965,4,1.0
2025-07-28 00:00:00+00:00,1,0,0,7822444776,137,26.114736715952557,474257,5389656,0.0160536980149668,78.79175567626953,57044,0.4235224425792694,248960.0,47215.0,5220354.0,77.47049713134766,0.353728324174881,22.7292316754659,0.0,0.0,0.0,0.0,0.0,0.0,242159.16666666666,35673.0,3767764.5,76.79993438720703,0.26402900864680606,19.358404392666287,242159.16666666666,35673.0,3767764.5,76.79993438720703,0.26402900864680606,19.358404392666287,0.0,90.49526028277634,0.0,20.817536799745852,0.0,3.2431133980569182,0.0,19.730995126610964,0.0,1.7054989884494276,0.4909480950096561,0.4909480950096561,8.313734770794987,0.08799391130084902,0.010583975937615325,5.5064409490093066e-05,0.42250976562500814,0.42250976562500814,1.0,1.0,1.0,118887.58156412581,118887.58156412581,13628.824072530982,13628.824072530982,1750069.0513981155,1750069.0513981155,5,1.0
2025-07-29 00:00:00+00:00,1,0,0,7822444776,115,25.226101398468018,737060,6209127,0.0209157786195418,79.7528305053711,59047,0.4487663209438324,474257.0,57044.0,5389656.0,78.79175567626953,0.4235224425792694,26.114736715952557,0.0,0.0,0.0,0.0,0.0,0.0,312859.28571428574,39012.142857142855,4116530.5714285714,77.2217766898019,0.290420053260667,20.196646822066533,312859.28571428574,39012.142857142855,4116530.5714285714,77.2217766898019,0.290420053260667,20.196646822066533,0.0,55.413625945426205,0.0,3.5113245915433744,0.0,15.20451398011302,0.0,5.960458248877365,0.0,1.2197657240312187,0.6912351150845946,0.6912351150845946,12.482387210405093,0.11870587947293082,0.00950970893175338,3.422525598080487e-05,0.5804503304617795,0.5804503304617795,1.0,1.0,1.0,216259.32436599836,216259.32436599836,15258.980846576565,15258.980846576565,1844925.2411076042,1844925.2411076042,6,1.0
2025-07-30 00:00:00+00:00,1,0,0,7822444776,99,21.95061691602071,852079,6696688,0.0203170903704614,80.62189483642578,64430,0.4665358066558838,737060.0,59047.0,6209127.0,79.7528305053711,0.4487663209438324,25.226101398468018,159941.0,22780.0,518326.0,76.91622161865234,0.1884653717279434,17.98605613708496,411736.14285714284,44962.142857142855,4999153.714285715,77.75115857805524,0.3301444011075156,20.763012647628784,380261.75,42189.375,4439050.25,77.64679145812988,0.3124345224350691,20.415893083810808,432.7458250229772,15.60510677556779,182.8358208955224,9.116466543600854,1191.9838094172394,7.852327710481677,147.54457669249987,3.959629963915101,4.817804540823678,1.0896971625303786,0.7270328765109664,0.7270328765109664,13.22467445794726,0.12723884892967255,0.009621172492854305,2.5761215984438914e-05,0.9010979788643968,0.6703100658598439,1.0013441266273266,1.0827703361096477,1.0566834885415937,276462.793929594,276462.793929594,16743.135087359577,16743.135087359577,1936401.5110265557,1936401.5110265557,7,1.0
2025-07-31 00:00:00+00:00,1,0,0,7822444776,84,24.190025488535564,1074184,7258171,0.021977631675203,81.38692474365234,68799,0.5346459746360779,852079.0,64430.0,6696688.0,80.62189483642578,0.4665358066558838,21.95061691602071,159715.0,27291.0,3817010.0,75.85848236083984,0.2023444771766662,16.439419507980347,542374.5714285715,50891.857142857145,5490748.142857143,78.54093606131417,0.37761604360171724,21.87024207342239,457364.22222222225,45146.0,4752285.888888889,78.06236182318793,0.33712468379073673,20.835241128780225,572.5630028488245,26.066245031270576,152.09409695504013,6.781002638522438,90.15331371937721,8.38448797375657,164.2256324936808,14.599129800648303,7.287836786023583,0.9489108495635445,0.7586063827118497,0.7586063827118497,15.613139534883722,0.1479964927808269,0.009478832962349198,2.2519422155900114e-05,1.0202620370047455,0.7185592651367181,1.0061306656235973,1.1858701338580977,1.1201079652657968,346959.4182018186,346959.4182018186,17999.046738647023,17999.046738647023,2040586.569996201,2040586.569996201,8,1.0
2025-08-01 00:00:00+00:00,1,0,0,7822444776,78,19.881106813748676,1168375,8864794,0.020454217332946,82.06881713867188,90107,0.6064854264259338,1074184.0,68799.0,7258171.0,81.38692474365234,0.5346459746360779,24.190025488535564,190154.0,25696.0,3785996.0,75.5942611694336,0.1813473552465438,15.539441665013632,682120.4285714285,60093.42857142857,6216290.714285715,79.46587262834821,0.43835005377020153,22.490479951813107,528465.3,49642.1,5163536.7,78.46300735473633,0.3640607580542564,20.73982769727707,514.4361938218497,8.768609474726862,250.66547322540472,30.971380397970893,134.14694574426386,22.135369916195135,234.43301425676154,13.436826460492025,8.564877636314883,0.8378402269987761,0.7511123214538237,0.7511123214538237,12.966384782705198,0.13179943811447417,0.010164589254461046,1.7016017800561356e-05,0.9772957393101306,0.741122482762192,1.0127813769497498,1.2907572712369733,1.2040574109469764,396936.7982907914,396936.7982907914,22138.623456404068,22138.623456404068,2322197.2130039567,2322197.2130039567,9,1.0
