timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,daily_Estimated Revenue,ccu_playing,daily_rpv,ratings_like_ratio,visits_visits_gained,session_session_length,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-05-27 00:00:00+00:00,0,0,0,6853277050,0.0001672675862209,931,13,0.0041551777632832,87.33766174316406,195,46.08529548645019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931.0,13.0,195.0,87.33766174316406,0.0001672675862209,46.08529548645019,931.0,13.0,195.0,87.33766174316406,0.0001672675862209,46.08529548645019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,4.75,0.0663265306122449,0.04944774193825128,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-05-28 00:00:00+00:00,0,0,0,6853277050,0.0005140259163454,1181,63,0.0052499533522636,86.98412322998047,2426,16.25494722525279,0.0,931.0,13.0,195.0,87.33766174316406,0.0001672675862209,46.08529548645019,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,38.0,1310.5,87.16089248657227,0.00034064675128315,31.170121355851492,1056.0,38.0,1310.5,87.16089248657227,0.00034064675128315,31.170121355851492,0.0,26.852846401718587,0.0,384.6153846153846,0.0,1144.1025641025642,0.0,207.30754712186595,0.0,-0.4047950290027802,0.1674021735763607,0.1674021735763607,18.453125,0.4866089822826535,0.02595797280593325,0.013752070410535354,0.0,0.0,1.0,1.0,1.0,176.7766952966369,176.7766952966369,35.35533905932738,35.35533905932738,1577.5552288271874,1577.5552288271874,2,1.0
2025-05-29 00:00:00+00:00,0,0,0,6853277050,0.0009187874384224,8289,109,0.034709015608688,86.4640884399414,22636,14.258240779240928,0.0,1181.0,63.0,2426.0,86.98412322998047,0.0005140259163454,16.25494722525279,0.0,0.0,0.0,0.0,0.0,0.0,3467.0,61.666666666666664,8419.0,86.92862447102864,0.0005333603136629,25.532827830314634,3467.0,61.666666666666664,8419.0,86.92862447102864,0.0005333603136629,25.532827830314634,0.0,601.8628281117697,0.0,73.01587301587303,0.0,833.0585325638913,0.0,78.74340752208691,0.0,-0.5978502406285391,1.2050316985832112,1.2050316985832112,75.35454545454546,0.3661704289437646,0.0048151256791977735,0.0017199325427311133,-0.4367866516113327,0.0,1.0,1.0,1.0,4177.8448989879935,4177.8448989879935,48.01388688008223,48.01388688008223,12362.712364202283,12362.712364202283,3,1.0
2025-05-30 00:00:00+00:00,0,0,0,6853277050,0.0012202677316963,8390,120,0.0323124630993949,84.78260803222656,24564,17.062101085980732,0.0,8289.0,109.0,22636.0,86.4640884399414,0.0009187874384224,14.258240779240928,0.0,0.0,0.0,0.0,0.0,0.0,4697.75,76.25,12455.25,86.39212036132812,0.00070508716817125,23.41514614423116,4697.75,76.25,12455.25,86.39212036132812,0.00070508716817125,23.41514614423116,0.0,1.2184823259741906,0.0,10.091743119266061,0.0,8.517405902102837,0.0,32.81284448028106,0.0,-1.9447153587732746,0.895443810145551,0.895443810145551,69.33884297520662,0.34154284551190717,0.004884998982291879,0.002033381132878171,-0.8185195922851695,0.0,1.0,1.0,1.0,4206.571159111262,4206.571159111262,48.862903447639425,48.862903447639425,12925.028468698498,12925.028468698498,4,1.0
2025-05-31 00:00:00+00:00,0,1,0,6853277050,0.0018904127646237,10895,239,0.0375282510128433,84.11016845703125,28004,16.361778219540913,0.0,8390.0,120.0,24564.0,84.78260803222656,0.0012202677316963,17.062101085980732,0.0,0.0,0.0,0.0,0.0,0.0,5937.2,108.8,15565.0,85.93572998046875,0.0009421522874617401,22.004472559293113,5937.2,108.8,15565.0,85.93572998046875,0.0009421522874617401,22.004472559293113,0.0,29.8569725864124,0.0,99.16666666666667,0.0,14.004233838137115,0.0,54.9178688840545,0.0,-0.7931338641289698,0.7709698750151991,0.7709698750151991,45.395833333333336,0.38903767184431354,0.008534190323156578,0.0015016316280782776,-0.8656501770019585,-0.8656501770019585,1.0,1.0,1.0,4577.40234194024,4577.40234194024,84.19144849686337,84.19144849686337,13177.442695758537,13177.442695758537,5,1.0
2025-06-01 00:00:00+00:00,1,1,0,6853277050,0.0034001267049461,14308,346,0.0453348630131355,84.32432556152344,28588,18.152672290802,0.0,10895.0,239.0,28004.0,84.11016845703125,0.0018904127646237,16.361778219540913,0.0,0.0,0.0,0.0,0.0,0.0,7332.333333333333,148.33333333333334,17735.5,85.6671625773112,0.0013518146903758,21.362505847877927,7332.333333333333,148.33333333333334,17735.5,85.6671625773112,0.0013518146903758,21.362505847877927,0.0,31.32629646626892,0.0,44.76987447698744,0.0,2.0854163690901206,0.0,79.8616031680742,0.0,0.25461499890062633,0.7273211198566586,0.7273211198566586,41.23342939481268,0.5004722095911015,0.012102556927489594,0.0012686192110421411,-0.7248578752790118,-0.7248578752790118,1.0,1.0,1.0,5332.960891162306,5332.960891162306,122.66974633815245,122.66974633815245,12929.904032899858,12929.904032899858,6,1.0
2025-06-02 00:00:00+00:00,1,0,0,6853277050,0.005049786530435,24127,526,0.070063902611522,84.85804748535156,28119,22.666951815287273,0.0,14308.0,346.0,28588.0,84.32432556152344,0.0034001267049461,18.152672290802,0.0,0.0,0.0,0.0,0.0,0.0,9731.57142857143,202.28571428571428,19218.85714285714,85.55157470703125,0.0018800963818128287,21.548855271793546,9731.57142857143,202.28571428571428,19218.85714285714,85.55157470703125,0.0018800963818128287,21.548855271793546,0.0,68.62594352809617,0.0,52.02312138728325,0.0,-1.6405484818805105,0.0,48.51759856740547,0.0,0.6329394516635833,0.8220332021878558,0.8220332021878558,45.78178368121442,0.8580014224751067,0.018705547652916075,0.0009394459472516277,-0.539727074759353,-0.539727074759353,1.0,1.0,1.0,7999.674823748419,7999.674823748419,181.42740907014232,181.42740907014232,12438.694497796938,12438.694497796938,7,1.0
2025-06-03 00:00:00+00:00,1,0,0,6853277050,0.0036828098818659,36193,323,0.0951311830863074,84.78836059570312,44930,20.79799024264018,0.0,24127.0,526.0,28119.0,84.85804748535156,0.005049786530435,22.666951815287273,931.0,13.0,195.0,87.33766174316406,0.0001672675862209,46.08529548645019,14769.0,246.57142857142858,25609.571428571428,85.18738882882255,0.0023823167097621147,17.9363830941064,13039.25,217.375,22432.75,85.45617294311523,0.0021054355693194624,21.454997143149377,3787.5402792696027,50.010361835288265,2384.6153846153848,-38.59315589353612,22941.02564102564,59.785198620150084,2101.7474903967586,-27.069988807058454,-2.9189024489317372,-0.08212172176182975,0.9151024584233086,0.9151024584233086,111.70679012345678,0.805524025728339,0.007188800605372683,0.0005746253589722103,-0.36634472438266985,-0.42341922578357066,0.9968547138839039,1.1326571696991774,1.131507771825166,11932.249730996127,11932.249730996127,173.30644823548835,173.30644823548835,14671.433533522599,14671.433533522599,8,1.0
2025-06-04 00:00:00+00:00,1,0,0,6853277050,0.0064699999056756,35367,581,0.082952347131468,84.48686981201172,47349,22.40308157602946,0.0,36193.0,323.0,44930.0,84.78836059570312,0.0036828098818659,20.79799024264018,1181.0,63.0,2426.0,86.98412322998047,0.0005140259163454,16.25494722525279,19652.714285714286,320.57142857142856,32027.14285714286,84.8306383405413,0.0032331701368092857,18.814688001360214,15520.111111111111,257.77777777777777,25201.222222222223,85.34847259521484,0.002590387162247922,21.56033985791383,2894.665537679932,-2.2822092669853244,822.2222222222222,79.87616099071207,1851.7312448474854,5.383930558646788,1158.6913811030647,75.68107269217946,-2.8709301482135685,-0.35558039048426693,0.8643889825372881,0.8643889825372881,60.7680412371134,0.7469271383315734,0.012270327349524815,0.0006334280020365715,-0.18472399030413128,-0.3610136667887402,0.9939327062461973,1.2662740714301055,1.2481416615744654,13415.413052198994,13415.413052198994,202.41589474259288,202.41589474259288,16041.338400970302,16041.338400970302,8,0.9771779073301468
2025-06-05 00:00:00+00:00,1,0,0,6853277050,0.008309026248753,36348,804,0.0759936482320006,84.1320571899414,55106,20.30614892641703,0.0,35367.0,581.0,47349.0,84.48686981201172,0.0064699999056756,22.40308157602946,8289.0,109.0,22636.0,86.4640884399414,0.0009187874384224,14.258240779240928,23661.14285714286,419.85714285714283,36665.71428571428,84.49749101911273,0.004288918538285086,19.678674879528227,17602.9,312.4,28191.7,85.2268310546875,0.00316225107089843,21.43492076476415,338.5088671733623,2.7737721604885968,637.6146788990826,38.38209982788297,143.44407139070506,16.38260575724937,804.3469578796132,28.423900616508078,-2.6971096232857983,-0.41996185071099257,0.8101112576306913,0.8101112576306913,45.1527950310559,0.659589525831564,0.014589798029288475,0.000558643949666209,-0.026221956525524965,-0.3289053252249034,0.9914423659011002,1.3441616357045065,1.3562865320072632,14260.307456947296,14260.307456947296,257.40163169645996,257.40163169645996,17837.110073913005,17837.110073913005,9,1.0
