timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,ccu_playing,daily_Estimated Revenue,platform_platform_share,session_session_length,daily_rpv,sort_sort_position,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-05-10 00:00:00+00:00,0,1,0,7094518649,96.3757781982422,1097,150215.0,0.0115841990336775,43.92068099975586,1.195982392436687,436,11678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150215.0,1097.0,11678.0,96.3757781982422,0.0115841990336775,43.92068099975586,150215.0,1097.0,11678.0,96.3757781982422,0.0115841990336775,43.92068099975586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.80783242258653,12.861974484116791,0.09392927476667523,0.0002923835077472164,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
2025-05-11 00:00:00+00:00,0,1,0,7094518649,96.48860931396484,1267,233120.0,0.0143912611529231,42.4095884958903,1.5143941250587338,436,50493,150215.0,1097.0,11678.0,96.3757781982422,0.0115841990336775,43.92068099975586,0.0,0.0,0.0,0.0,0.0,0.0,191667.5,1182.0,31085.5,96.43219375610352,0.012987730093300301,43.165134747823075,191667.5,1182.0,31085.5,96.43219375610352,0.012987730093300301,43.165134747823075,0.0,55.19089305329028,0.0,15.496809480401087,0.0,332.3771193697551,0.0,24.23181879977139,0.0,0.11707414231254543,0.3058561712041464,0.3058561712041464,183.84858044164037,4.616786152810235,0.02509209014932467,0.00018192092731195516,0.0,0.0,1.0,1.0,1.0,58622.687694270724,58622.687694270724,120.20815280171308,120.20815280171308,27446.349711755844,27446.349711755844,2,1.0
2025-05-12 00:00:00+00:00,0,0,0,7094518649,96.1425323486328,1276,211672.0,0.0156599301844835,48.747205098470054,1.0444758693463878,381,42016,233120.0,1267.0,50493.0,96.48860931396484,0.0143912611529231,42.4095884958903,0.0,0.0,0.0,0.0,0.0,0.0,198335.66666666666,1213.3333333333333,34729.0,96.33563995361328,0.013878463457028034,45.025824864705406,198335.66666666666,1213.3333333333333,34729.0,96.33563995361328,0.013878463457028034,45.025824864705406,0.0,-9.200411805078934,0.0,0.710339384372527,0.0,-16.788465727922684,0.0,8.815551452227744,0.0,-0.35867131653430917,0.2169625897184997,0.2169625897184997,165.7572435395458,5.037770426256039,0.0303686603041626,0.0002302948656582089,-0.11662292480471506,0.0,1.0,1.0,1.0,43031.419873545114,43031.419873545114,100.84807054839145,100.84807054839145,20407.751787004858,20407.751787004858,2,0.9079958819492107
2025-05-13 00:00:00+00:00,0,0,0,7094518649,96.02223205566406,1306,220393.0,0.0166941210627555,47.850886265436806,0.9009646528292564,253,41761,211672.0,1276.0,42016.0,96.1425323486328,0.0156599301844835,48.747205098470054,0.0,0.0,0.0,0.0,0.0,0.0,203850.0,1236.5,36487.0,96.25728797912598,0.014582377858459901,45.73209021488825,203850.0,1236.5,36487.0,96.25728797912598,0.014582377858459901,45.73209021488825,0.0,4.120053667939083,0.0,2.351097178683381,0.0,-0.6069116527037344,0.0,6.6040580391394155,0.0,-0.12512702758078476,0.18064884005717857,0.18064884005717857,168.62509563886763,5.27735740625449,0.03127244863751736,0.00021711519490293205,-0.14067153930665835,0.0,1.0,1.0,1.0,36825.26604565585,36825.26604565585,94.48280266799883,94.48280266799883,17029.772302255446,17029.772302255446,2,0.9454057995881949
2025-05-14 00:00:00+00:00,0,0,0,7094518649,95.90550994873048,1359,232567.0,0.0180672090500593,53.148824055989586,0.8136588936266143,232,41947,220393.0,1306.0,41761.0,96.02223205566406,0.0166941210627555,47.850886265436806,0.0,0.0,0.0,0.0,0.0,0.0,209593.4,1261.0,37579.0,96.18693237304687,0.015279344096779782,47.21543698310852,209593.4,1261.0,37579.0,96.18693237304687,0.015279344096779782,47.21543698310852,0.0,5.523768903731052,0.0,4.058192955589579,0.0,0.4453916333421182,0.0,8.224979213593642,0.0,-0.12155737732270078,0.16403354676699433,0.16403354676699433,171.00514705882352,5.544173738914847,0.032397253742729094,0.00022853025375799588,-0.1406913757324272,-0.1406913757324272,1.0,1.0,1.0,34380.34878095335,34380.34878095335,98.47080785694816,98.47080785694816,14948.985868613296,14948.985868613296,2,0.9976278311599176
2025-05-15 00:00:00+00:00,0,0,0,7094518649,95.8491439819336,1381,240138.0,0.0179216582328081,50.41000413894653,0.7321614128678634,224,43764,232567.0,1359.0,41947.0,95.90550994873048,0.0180672090500593,53.148824055989586,0.0,0.0,0.0,0.0,0.0,0.0,214684.16666666666,1281.0,38609.833333333336,96.13063430786133,0.015719729786117836,47.747864842414856,214684.16666666666,1281.0,38609.833333333336,96.13063430786133,0.015719729786117836,47.747864842414856,0.0,3.2554059690325765,0.0,1.6188373804267853,0.0,4.331656614298995,0.0,-0.8056076444785676,0.0,-0.058772396734052545,0.1545659356482431,0.1545659356482431,173.76121562952244,5.486987318633611,0.0315548954644122,0.00020992010518469109,-0.12865055629184644,-0.12865055629184644,1.0,1.0,1.0,33182.8590896967,33182.8590896967,100.78293506343225,100.78293506343225,13607.110162215438,13607.110162215438,3,1.0
2025-05-16 00:00:00+00:00,0,0,0,7094518649,95.68854522705078,1742,271214.0,0.0188135150820016,55.294021129608154,0.7255159312364883,179,48402,240138.0,1381.0,43764.0,95.8491439819336,0.0179216582328081,50.41000413894653,0.0,0.0,0.0,0.0,0.0,0.0,222759.85714285713,1346.857142857143,40008.71428571428,96.06747872488839,0.01616169911410123,48.82588716915676,222759.85714285713,1346.857142857143,40008.71428571428,96.06747872488839,0.01616169911410123,48.82588716915676,0.0,12.940892320249198,0.0,26.140477914554673,0.0,10.597751576638338,0.0,4.976419244290864,0.0,-0.16755366632494884,0.16640740274203514,0.16640740274203514,155.60183591508894,5.603247732578559,0.035989504782761396,0.00020387523230502795,-0.1277732849121111,-0.1277732849121111,1.0,1.0,1.0,37068.88926232964,37068.88926232964,197.03927575606897,197.03927575606897,12961.196494592177,12961.196494592177,4,1.0
2025-05-17 00:00:00+00:00,0,1,0,7094518649,95.6709976196289,2014,375678.0,0.0200726427137851,50.947569847106934,0.8621325817009382,167,68874,271214.0,1742.0,48402.0,95.68854522705078,0.0188135150820016,55.294021129608154,150215.0,1097.0,11678.0,96.3757781982422,0.0115841990336775,43.92068099975586,254968.85714285713,1477.857142857143,48179.57142857143,95.96679578508649,0.01737433392554517,49.829728433064055,241874.625,1430.25,43616.875,96.01791858673096,0.016650567064061712,49.09109750390053,150.09353260326864,38.51718569100415,83.59161349134001,15.614236509758905,489.7756465148142,42.295772901946194,73.27605176180118,6.69267612296478,-0.7312839302460183,-0.018338252901883845,0.2647547898294339,0.2647547898294339,186.44069478908187,5.45449001814882,0.029241379310344828,0.00013561463336280957,-0.12621062142507555,-0.11822228204636114,0.9994675701952621,1.0541364442130179,1.0434680007412855,64037.46550694814,64037.46550694814,298.18294959398906,298.18294959398906,15752.595327550678,15752.595327550678,5,1.0
2025-05-18 00:00:00+00:00,0,1,0,7094518649,95.4545440673828,1884,405961.0,0.021882988512516,53.29202540715536,0.8095359563704947,157,68231,375678.0,2014.0,68874.0,95.6709976196289,0.0200726427137851,50.947569847106934,233120.0,1267.0,50493.0,96.48860931396484,0.0143912611529231,42.4095884958903,279660.4285714286,1566.0,50713.57142857143,95.81907217843192,0.0184445806912013,51.384362277530485,260106.44444444444,1480.6666666666667,46351.77777777778,95.95532141791449,0.017231947225001078,49.55786727092884,74.14250171585451,8.060892572894861,48.697711128650354,-6.45481628599801,35.129621927791966,-0.9335888724337216,52.057476269695854,9.018970867685638,-1.0716967048590154,-0.226247826020054,0.3118565868384309,0.3118565868384309,215.36392572944297,5.949715675929183,0.02761167780513542,0.00013127343299903772,-0.1065499441964323,-0.12031389872232973,0.9985800762535184,1.0751768537252089,1.0703712383961381,81115.9079791244,81115.9079791244,317.2940276777992,317.2940276777992,16865.451845249936,16865.451845249936,6,1.0
2025-05-19 00:00:00+00:00,0,0,0,7094518649,95.5364227294922,1669,305532.0,0.0202094092965126,53.14544860521952,0.5414962665043963,145,54811,405961.0,1884.0,68231.0,95.4545440673828,0.021882988512516,53.29202540715536,211672.0,1276.0,42016.0,96.1425323486328,0.0156599301844835,48.747205098470054,293069.0,1622.142857142857,52541.42857142857,95.73248508998326,0.019094506278634026,52.0126827784947,264649.0,1499.5,47197.7,95.91343154907227,0.01752969343215223,49.91662540435791,44.34218980309157,-24.738583262924273,30.799373040752354,-11.411889596602975,30.45268469154607,-19.668479137049143,29.05172027227114,-7.647854930994436,-0.6304281823394375,0.08577764726591663,0.29402796509094276,0.29402796509094276,182.95329341317364,5.574180836313216,0.030449536597825292,0.00017394339925709995,-0.09062521798269958,-0.1103500366210902,0.9981134398366673,1.1073875208294761,1.0892664125894913,77814.2069333529,77814.2069333529,305.01848759997773,305.01848759997773,16124.344341881178,16124.344341881178,6,0.7526141673707573
